"Bestand","RelatiefPad","GrootteKB"
"iframe-has-title.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\iframe-has-title.md","0,9"
"img-redundant-alt.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\img-redundant-alt.md","1,8"
"interactive-supports-focus.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\interactive-supports-focus.md","6,1"
"label-has-associated-control.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\label-has-associated-control.md","4,8"
"label-has-for.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\label-has-for.md","3,7"
"lang.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\lang.md","0,7"
"media-has-caption.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\media-has-caption.md","2"
"mouse-events-have-key-events.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\mouse-events-have-key-events.md","2"
"no-access-key.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-access-key.md","0,9"
"no-aria-hidden-on-focusable.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-aria-hidden-on-focusable.md","1,5"
"no-autofocus.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-autofocus.md","1,1"
"no-distracting-elements.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-distracting-elements.md","1,5"
"no-interactive-element-to-noninteractive-role.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-interactive-element-to-noninteractive-role.md","2,8"
"no-noninteractive-element-interactions.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-noninteractive-element-interactions.md","5,6"
"no-noninteractive-element-to-interactive-role.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-noninteractive-element-to-interactive-role.md","2,7"
"no-noninteractive-tabindex.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-noninteractive-tabindex.md","5,2"
"no-onchange.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-onchange.md","1,6"
"no-redundant-roles.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-redundant-roles.md","1,4"
"no-static-element-interactions.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\no-static-element-interactions.md","4,3"
"prefer-tag-over-role.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\prefer-tag-over-role.md","0,5"
"role-has-required-aria-props.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\role-has-required-aria-props.md","0,9"
"role-supports-aria-props.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\role-supports-aria-props.md","1,6"
"scope.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\scope.md","0,6"
"tabindex-no-positive.md","node_modules\eslint-plugin-jsx-a11y\docs\rules\tabindex-no-positive.md","0,8"
"LICENSE.md","node_modules\eslint-plugin-jsx-a11y\LICENSE.md","1,1"
"README.md","node_modules\eslint-plugin-jsx-a11y\README.md","23,2"
"README.md","node_modules\eslint-plugin-react\README.md","38,5"
"README.md","node_modules\eslint-plugin-react-hooks\README.md","4,1"
"README.md","node_modules\eslint-scope\README.md","11,3"
"README.md","node_modules\eslint-visitor-keys\README.md","6,6"
"CHANGELOG.md","node_modules\es-object-atoms\CHANGELOG.md","2,6"
"README.md","node_modules\es-object-atoms\README.md","2,5"
"README.md","node_modules\espree\README.md","13,9"
"README.md","node_modules\esquery\README.md","2,1"
"README.md","node_modules\esrecurse\README.md","5"
"CHANGELOG.md","node_modules\es-set-tostringtag\CHANGELOG.md","4,9"
"README.md","node_modules\es-set-tostringtag\README.md","2,2"
"CHANGELOG.md","node_modules\es-shim-unscopables\CHANGELOG.md","2"
"README.md","node_modules\es-shim-unscopables\README.md","2,2"
"CHANGELOG.md","node_modules\es-to-primitive\CHANGELOG.md","11,2"
"README.md","node_modules\es-to-primitive\README.md","2,2"
"README.md","node_modules\estraverse\README.md","4,8"
"README.md","node_modules\esutils\README.md","6,7"
"README.md","node_modules\event-target-shim\README.md","8,7"
"CHANGELOG.md","node_modules\extend\CHANGELOG.md","2,7"
"README.md","node_modules\extend\README.md","3"
"README.md","node_modules\farmhash-modern\README.md","4,1"
"README.md","node_modules\fast-deep-equal\README.md","3,2"
"CHANGELOG.md","node_modules\fast-glob\node_modules\glob-parent\CHANGELOG.md","4,4"
"README.md","node_modules\fast-glob\node_modules\glob-parent\README.md","4,5"
"README.md","node_modules\fast-glob\README.md","25,5"
"README.md","node_modules\fast-json-stable-stringify\README.md","3,4"
"LICENSE.md","node_modules\fast-levenshtein\LICENSE.md","1,1"
"README.md","node_modules\fast-levenshtein\README.md","3,3"
"README.md","node_modules\fastq\README.md","8"
"SECURITY.md","node_modules\fastq\SECURITY.md","0,4"
"CHANGELOG.md","node_modules\fast-xml-builder\CHANGELOG.md","1,3"
"README.md","node_modules\fast-xml-builder\README.md","4,8"
"CHANGELOG.md","node_modules\fast-xml-parser\CHANGELOG.md","30,2"
"README.md","node_modules\fast-xml-parser\README.md","9,3"
"CHANGELOG.md","node_modules\faye-websocket\CHANGELOG.md","3,4"
"LICENSE.md","node_modules\faye-websocket\LICENSE.md","0,5"
"README.md","node_modules\faye-websocket\README.md","10,9"
"README.md","node_modules\fetch-blob\README.md","5"
"README.md","node_modules\file-entry-cache\README.md","5,4"
"README.md","node_modules\fill-range\README.md","7,3"
"readme.md","node_modules\find-up\readme.md","3,9"
"README.md","node_modules\firebase\node_modules\@firebase\auth\README.md","7"
"README.md","node_modules\firebase\README.md","9,2"
"README.md","node_modules\firebase-admin\README.md","3"
"changelog.md","node_modules\flat-cache\changelog.md","15,7"
"README.md","node_modules\flat-cache\README.md","3"
"README.md","node_modules\flatted\golang\README.md","1,1"
"README.md","node_modules\flatted\README.md","3,9"
"SECURITY.md","node_modules\for-each\.github\SECURITY.md","0,2"
"CHANGELOG.md","node_modules\for-each\CHANGELOG.md","8,7"
"README.md","node_modules\for-each\README.md","0,7"
"CHANGELOG.md","node_modules\form-data\CHANGELOG.md","48"
"README.md","node_modules\form-data\README.md","11,2"
"README.md","node_modules\formdata-polyfill\README.md","5,2"
"CHANGELOG.md","node_modules\function.prototype.name\CHANGELOG.md","10,9"
"README.md","node_modules\function.prototype.name\README.md","2,5"
"README.md","node_modules\functional-red-black-tree\README.md","7"
"SECURITY.md","node_modules\function-bind\.github\SECURITY.md","0,2"
"CHANGELOG.md","node_modules\function-bind\CHANGELOG.md","13,5"
"README.md","node_modules\function-bind\README.md","1,7"
"CHANGELOG.md","node_modules\functions-have-names\CHANGELOG.md","8"
"README.md","node_modules\functions-have-names\README.md","1,8"
"CHANGELOG.md","node_modules\gaxios\CHANGELOG.md","18,6"
"README.md","node_modules\gaxios\README.md","6,9"
"README.md","node_modules\gcp-metadata\node_modules\gaxios\README.md","7,8"
"LICENSE.md","node_modules\gcp-metadata\node_modules\node-fetch\LICENSE.md","1,1"
"README.md","node_modules\gcp-metadata\node_modules\node-fetch\README.md","28,4"
"README.md","node_modules\gcp-metadata\README.md","8,3"
"CHANGELOG.md","node_modules\generator-function\CHANGELOG.md","1,3"
"LICENSE.md","node_modules\generator-function\LICENSE.md","1"
"README.md","node_modules\generator-function\README.md","1,9"
"README.md","node_modules\gensync\README.md","5,2"
"LICENSE.md","node_modules\get-caller-file\LICENSE.md","0,7"
"README.md","node_modules\get-caller-file\README.md","1"
"CHANGELOG.md","node_modules\get-intrinsic\CHANGELOG.md","15,2"
"README.md","node_modules\get-intrinsic\README.md","2,7"
"CHANGELOG.md","node_modules\get-proto\CHANGELOG.md","1"
"README.md","node_modules\get-proto\README.md","1,8"
"CHANGELOG.md","node_modules\get-symbol-description\CHANGELOG.md","6,1"
"README.md","node_modules\get-symbol-description\README.md","2"
"README.md","node_modules\get-tsconfig\README.md","8,1"
"readme.md","node_modules\globals\readme.md","1,6"
"CHANGELOG.md","node_modules\globalthis\CHANGELOG.md","11,6"
"README.md","node_modules\globalthis\README.md","2,7"
"README.md","node_modules\glob-parent\README.md","4,1"
"README.md","node_modules\google-auth-library\node_modules\gaxios\README.md","7,8"
"LICENSE.md","node_modules\google-auth-library\node_modules\node-fetch\LICENSE.md","1,1"
"README.md","node_modules\google-auth-library\node_modules\node-fetch\README.md","28,4"
"README.md","node_modules\google-auth-library\README.md","83,8"
"README.md","node_modules\google-gax\node_modules\@grpc\grpc-js\node_modules\@grpc\proto-loader\README.md","7,1"
"README.md","node_modules\google-gax\node_modules\@grpc\grpc-js\README.md","4,4"
"CHANGELOG.md","node_modules\google-gax\node_modules\gcp-metadata\CHANGELOG.md","25"
"README.md","node_modules\google-gax\node_modules\gcp-metadata\README.md","8,3"
"CHANGELOG.md","node_modules\google-gax\node_modules\google-auth-library\CHANGELOG.md","89"
"README.md","node_modules\google-gax\node_modules\google-auth-library\README.md","79,5"
"README.md","node_modules\google-logging-utils\README.md","4,2"
"CHANGELOG.md","node_modules\gopd\CHANGELOG.md","3"
"README.md","node_modules\gopd\README.md","1,5"
"CHANGELOG.md","node_modules\gtoken\CHANGELOG.md","18,8"
"README.md","node_modules\gtoken\README.md","5,4"
"CHANGELOG.md","node_modules\has-bigints\CHANGELOG.md","7,6"
"README.md","node_modules\has-bigints\README.md","1,7"
"readme.md","node_modules\has-flag\readme.md","1,6"
"CHANGELOG.md","node_modules\hasown\CHANGELOG.md","4"
"README.md","node_modules\hasown\README.md","1,6"
"CHANGELOG.md","node_modules\has-property-descriptors\CHANGELOG.md","2,6"
"README.md","node_modules\has-property-descriptors\README.md","2,2"
"CHANGELOG.md","node_modules\has-proto\CHANGELOG.md","4,2"
"README.md","node_modules\has-proto\README.md","2"
"CHANGELOG.md","node_modules\has-symbols\CHANGELOG.md","9,2"
"README.md","node_modules\has-symbols\README.md","2"
"CHANGELOG.md","node_modules\has-tostringtag\CHANGELOG.md","3,5"
"README.md","node_modules\has-tostringtag\README.md","2,1"
"README.md","node_modules\hermes-estree\README.md","0,1"
"README.md","node_modules\hermes-parser\README.md","1,8"
"README.md","node_modules\html-entities\README.md","7"
"LICENSE.md","node_modules\http-parser-js\LICENSE.md","5,1"
"README.md","node_modules\http-parser-js\README.md","1,8"
"README.md","node_modules\http-proxy-agent\node_modules\agent-base\README.md","4,9"
"README.md","node_modules\http-proxy-agent\README.md","2,5"
"README.md","node_modules\https-proxy-agent\README.md","2,1"
"CHANGELOG.md","node_modules\idb\CHANGELOG.md","3"
"README.md","node_modules\idb\README.md","16,1"
"README.md","node_modules\ignore\README.md","11,5"
"readme.md","node_modules\import-fresh\readme.md","1,1"
"README.md","node_modules\imurmurhash\README.md","4,7"
"README.md","node_modules\inherits\README.md","1,6"
"CHANGELOG.md","node_modules\internal-slot\CHANGELOG.md","10,3"
"README.md","node_modules\internal-slot\README.md","2,3"
"README.md","node_modules\isarray\README.md","1,2"
"CHANGELOG.md","node_modules\is-array-buffer\CHANGELOG.md","6"
"README.md","node_modules\is-array-buffer\README.md","2,3"
"CHANGELOG.md","node_modules\is-async-function\CHANGELOG.md","12,7"
"README.md","node_modules\is-async-function\README.md","1,7"
"CHANGELOG.md","node_modules\is-bigint\CHANGELOG.md","8,9"
"README.md","node_modules\is-bigint\README.md","1,6"
"CHANGELOG.md","node_modules\is-boolean-object\CHANGELOG.md","15,7"
"README.md","node_modules\is-boolean-object\README.md","2,2"
"README.md","node_modules\is-bun-module\node_modules\semver\README.md","25,1"
"README.md","node_modules\is-bun-module\README.md","2,4"
"CHANGELOG.md","node_modules\is-callable\CHANGELOG.md","8,9"
"README.md","node_modules\is-callable\README.md","3,5"
"CHANGELOG.md","node_modules\is-core-module\CHANGELOG.md","17,3"
"README.md","node_modules\is-core-module\README.md","1,6"
"CHANGELOG.md","node_modules\is-data-view\CHANGELOG.md","2,6"
"README.md","node_modules\is-data-view\README.md","3,1"
"CHANGELOG.md","node_modules\is-date-object\CHANGELOG.md","15"
"README.md","node_modules\is-date-object\README.md","1,9"
"CHANGELOG.md","node_modules\is-document.all\CHANGELOG.md","0,5"
"README.md","node_modules\is-document.all\README.md","1,4"
"README.md","node_modules\isexe\README.md","1,4"
"README.md","node_modules\is-extglob\README.md","3,4"
"CHANGELOG.md","node_modules\is-finalizationregistry\CHANGELOG.md","8,2"
"README.md","node_modules\is-finalizationregistry\README.md","2,6"
"readme.md","node_modules\is-fullwidth-code-point\readme.md","0,8"
"CHANGELOG.md","node_modules\is-generator-function\CHANGELOG.md","25,5"
"README.md","node_modules\is-generator-function\README.md","1,7"
"README.md","node_modules\is-glob\README.md","7"
"CHANGELOG.md","node_modules\is-map\CHANGELOG.md","8,2"
"README.md","node_modules\is-map\README.md","1,8"
"CHANGELOG.md","node_modules\is-negative-zero\CHANGELOG.md","15,3"
"README.md","node_modules\is-negative-zero\README.md","2,2"
"README.md","node_modules\is-number\README.md","6,4"
"CHANGELOG.md","node_modules\is-number-object\CHANGELOG.md","15,6"
"README.md","node_modules\is-number-object\README.md","2,1"
"CHANGELOG.md","node_modules\is-regex\CHANGELOG.md","22,9"
"README.md","node_modules\is-regex\README.md","1,8"
"CHANGELOG.md","node_modules\is-set\CHANGELOG.md","7,6"
"README.md","node_modules\is-set\README.md","1,8"
"CHANGELOG.md","node_modules\is-shared-array-buffer\CHANGELOG.md","7,8"
"README.md","node_modules\is-shared-array-buffer\README.md","2,6"
"readme.md","node_modules\is-stream\readme.md","1,6"
"CHANGELOG.md","node_modules\is-string\CHANGELOG.md","14,2"
"README.md","node_modules\is-string\README.md","2,2"
"CHANGELOG.md","node_modules\is-symbol\CHANGELOG.md","16,1"
"README.md","node_modules\is-symbol\README.md","1,6"
"CHANGELOG.md","node_modules\is-typed-array\CHANGELOG.md","8,9"
"README.md","node_modules\is-typed-array\README.md","3"
"README.md","node_modules\is-unsafe\README.md","21,6"
"CHANGELOG.md","node_modules\is-weakmap\CHANGELOG.md","8"
"README.md","node_modules\is-weakmap\README.md","1,9"
"CHANGELOG.md","node_modules\is-weakref\CHANGELOG.md","8,1"
"README.md","node_modules\is-weakref\README.md","2"
"CHANGELOG.md","node_modules\is-weakset\CHANGELOG.md","10,3"
"README.md","node_modules\is-weakset\README.md","1,9"
"CHANGELOG.md","node_modules\iterator.prototype\CHANGELOG.md","4,8"
"README.md","node_modules\iterator.prototype\README.md","1,6"
"LICENSE.md","node_modules\jose\LICENSE.md","1,1"
"README.md","node_modules\jose\README.md","7,6"
"README.md","node_modules\jsesc\README.md","13,9"
"LICENSE.md","node_modules\json5\LICENSE.md","1,1"
"README.md","node_modules\json5\README.md","10,2"
"README.md","node_modules\json-bigint\README.md","8,6"
"README.md","node_modules\json-buffer\README.md","0,6"
"README.md","node_modules\json-schema-traverse\README.md","2,6"
"README.md","node_modules\jsonwebtoken\node_modules\semver\README.md","25,1"
"README.md","node_modules\jsonwebtoken\README.md","17,3"
"CHANGELOG.md","node_modules\js-tokens\CHANGELOG.md","4,4"
"README.md","node_modules\js-tokens\README.md","7,2"
"CHANGELOG.md","node_modules\jsx-ast-utils\CHANGELOG.md","8,9"
"LICENSE.md","node_modules\jsx-ast-utils\LICENSE.md","1,1"
"README.md","node_modules\jsx-ast-utils\README.md","8,9"
"README.md","node_modules\js-yaml\README.md","7,8"
"README.md","node_modules\jwa\README.md","5,2"
"README.md","node_modules\jwks-rsa\README.md","3,4"
"CHANGELOG.md","node_modules\jws\CHANGELOG.md","2"
"readme.md","node_modules\jws\readme.md","6,8"
"README.md","node_modules\keyv\README.md","15,3"
"README.md","node_modules\language-subtag-registry\README.md","1,6"
"README.md","node_modules\language-tags\README.md","8,2"
"README.md","node_modules\levn\README.md","10,2"
"README.md","node_modules\limiter\README.md","5,3"
"readme.md","node_modules\locate-path\readme.md","2,2"
"README.md","node_modules\lodash.camelcase\README.md","0,5"
"README.md","node_modules\lodash.clonedeep\README.md","0,5"
"README.md","node_modules\lodash.includes\README.md","0,5"
"README.md","node_modules\lodash.isboolean\README.md","0,5"
"README.md","node_modules\lodash.isinteger\README.md","0,5"
"README.md","node_modules\lodash.isnumber\README.md","0,5"
"README.md","node_modules\lodash.isplainobject\README.md","0,5"
"README.md","node_modules\lodash.isstring\README.md","0,5"
"README.md","node_modules\lodash.merge\README.md","0,4"
"README.md","node_modules\lodash.once\README.md","0,4"
"README.md","node_modules\long\README.md","10,9"
"README.md","node_modules\loose-envify\README.md","1"
"README.md","node_modules\lru-cache\README.md","5,8"
"README.md","node_modules\lru-memoizer\node_modules\lru-cache\README.md","5,8"
"README.md","node_modules\lru-memoizer\node_modules\yallist\README.md","4,6"
"README.md","node_modules\lru-memoizer\README.md","2,2"
"CHANGELOG.md","node_modules\math-intrinsics\CHANGELOG.md","1,4"
"README.md","node_modules\math-intrinsics\README.md","1,8"
"README.md","node_modules\merge2\README.md","3,7"
"README.md","node_modules\micromatch\README.md","38"
"CHANGELOG.md","node_modules\mime\CHANGELOG.md","12,7"
"README.md","node_modules\mime\README.md","5"
"HISTORY.md","node_modules\mime-db\HISTORY.md","12,3"
"README.md","node_modules\mime-db\README.md","4"
"HISTORY.md","node_modules\mime-types\HISTORY.md","8,6"
"README.md","node_modules\mime-types\README.md","3,4"
"README.md","node_modules\minimatch\README.md","8,5"
"CHANGELOG.md","node_modules\minimist\CHANGELOG.md","21"
"README.md","node_modules\minimist\README.md","3,5"
"license.md","node_modules\ms\license.md","1,1"
"readme.md","node_modules\ms\readme.md","1,8"
"README.md","node_modules\nanoid\README.md","1,4"
"README.md","node_modules\napi-postinstall\README.md","6,6"
"README.md","node_modules\natural-compare\README.md","3,3"
"README.md","node_modules\next\dist\compiled\@babel\runtime\README.md","0,3"
"README.md","node_modules\next\dist\compiled\react-is\README.md","2,3"
"README.md","node_modules\next\dist\compiled\react-refresh\README.md","0,6"
"README.md","node_modules\next\dist\compiled\regenerator-runtime\README.md","0,7"
"01-installation.md","node_modules\next\dist\docs\01-app\01-getting-started\01-installation.md","12,7"
"02-project-structure.md","node_modules\next\dist\docs\01-app\01-getting-started\02-project-structure.md","26,4"
"03-layouts-and-pages.md","node_modules\next\dist\docs\01-app\01-getting-started\03-layouts-and-pages.md","12,1"
"04-linking-and-navigating.md","node_modules\next\dist\docs\01-app\01-getting-started\04-linking-and-navigating.md","16,7"
"05-server-and-client-components.md","node_modules\next\dist\docs\01-app\01-getting-started\05-server-and-client-components.md","18,6"
"06-fetching-data.md","node_modules\next\dist\docs\01-app\01-getting-started\06-fetching-data.md","22,1"
"07-mutating-data.md","node_modules\next\dist\docs\01-app\01-getting-started\07-mutating-data.md","16,9"
"08-caching.md","node_modules\next\dist\docs\01-app\01-getting-started\08-caching.md","15,9"
"09-revalidating.md","node_modules\next\dist\docs\01-app\01-getting-started\09-revalidating.md","8,3"
"10-error-handling.md","node_modules\next\dist\docs\01-app\01-getting-started\10-error-handling.md","12"
"11-css.md","node_modules\next\dist\docs\01-app\01-getting-started\11-css.md","12,1"
"12-images.md","node_modules\next\dist\docs\01-app\01-getting-started\12-images.md","7,1"
"13-fonts.md","node_modules\next\dist\docs\01-app\01-getting-started\13-fonts.md","8,5"
"14-metadata-and-og-images.md","node_modules\next\dist\docs\01-app\01-getting-started\14-metadata-and-og-images.md","12"
"15-route-handlers.md","node_modules\next\dist\docs\01-app\01-getting-started\15-route-handlers.md","8"
"16-proxy.md","node_modules\next\dist\docs\01-app\01-getting-started\16-proxy.md","3,4"
"17-deploying.md","node_modules\next\dist\docs\01-app\01-getting-started\17-deploying.md","6,4"
"18-upgrading.md","node_modules\next\dist\docs\01-app\01-getting-started\18-upgrading.md","2,1"
"index.md","node_modules\next\dist\docs\01-app\01-getting-started\index.md","0,7"
"ai-agents.md","node_modules\next\dist\docs\01-app\02-guides\ai-agents.md","4"
"analytics.md","node_modules\next\dist\docs\01-app\02-guides\analytics.md","6,8"
"authentication.md","node_modules\next\dist\docs\01-app\02-guides\authentication.md","54,5"
"backend-for-frontend.md","node_modules\next\dist\docs\01-app\02-guides\backend-for-frontend.md","28,9"
"caching-without-cache-components.md","node_modules\next\dist\docs\01-app\02-guides\caching-without-cache-components.md","15,4"
"cdn-caching.md","node_modules\next\dist\docs\01-app\02-guides\cdn-caching.md","9,5"
"ci-build-caching.md","node_modules\next\dist\docs\01-app\02-guides\ci-build-caching.md","4,8"
"content-security-policy.md","node_modules\next\dist\docs\01-app\02-guides\content-security-policy.md","20,6"
"css-in-js.md","node_modules\next\dist\docs\01-app\02-guides\css-in-js.md","10,7"
"custom-server.md","node_modules\next\dist\docs\01-app\02-guides\custom-server.md","5,5"
"data-security.md","node_modules\next\dist\docs\01-app\02-guides\data-security.md","23,3"
"debugging.md","node_modules\next\dist\docs\01-app\02-guides\debugging.md","8,2"
"deploying-to-platforms.md","node_modules\next\dist\docs\01-app\02-guides\deploying-to-platforms.md","9,5"
"draft-mode.md","node_modules\next\dist\docs\01-app\02-guides\draft-mode.md","12,8"
"environment-variables.md","node_modules\next\dist\docs\01-app\02-guides\environment-variables.md","11,2"
"forms.md","node_modules\next\dist\docs\01-app\02-guides\forms.md","14,3"
"how-revalidation-works.md","node_modules\next\dist\docs\01-app\02-guides\how-revalidation-works.md","9"
"incremental-static-regeneration.md","node_modules\next\dist\docs\01-app\02-guides\incremental-static-regeneration.md","20,5"
"index.md","node_modules\next\dist\docs\01-app\02-guides\index.md","0,1"
"instant-navigation.md","node_modules\next\dist\docs\01-app\02-guides\instant-navigation.md","12,6"
"instrumentation.md","node_modules\next\dist\docs\01-app\02-guides\instrumentation.md","4,1"
"internationalization.md","node_modules\next\dist\docs\01-app\02-guides\internationalization.md","8,1"
"json-ld.md","node_modules\next\dist\docs\01-app\02-guides\json-ld.md","3,2"
"lazy-loading.md","node_modules\next\dist\docs\01-app\02-guides\lazy-loading.md","10,4"
"local-development.md","node_modules\next\dist\docs\01-app\02-guides\local-development.md","10,9"
"mcp.md","node_modules\next\dist\docs\01-app\02-guides\mcp.md","7,1"
"mdx.md","node_modules\next\dist\docs\01-app\02-guides\mdx.md","23,1"
"memory-usage.md","node_modules\next\dist\docs\01-app\02-guides\memory-usage.md","7,7"
"app-router-migration.md","node_modules\next\dist\docs\01-app\02-guides\migrating\app-router-migration.md","37"
"from-create-react-app.md","node_modules\next\dist\docs\01-app\02-guides\migrating\from-create-react-app.md","21,5"
"from-vite.md","node_modules\next\dist\docs\01-app\02-guides\migrating\from-vite.md","22,1"
"index.md","node_modules\next\dist\docs\01-app\02-guides\migrating\index.md","0,1"
"migrating-to-cache-components.md","node_modules\next\dist\docs\01-app\02-guides\migrating-to-cache-components.md","25,3"
"multi-tenant.md","node_modules\next\dist\docs\01-app\02-guides\multi-tenant.md","0,4"
"multi-zones.md","node_modules\next\dist\docs\01-app\02-guides\multi-zones.md","7"
"open-telemetry.md","node_modules\next\dist\docs\01-app\02-guides\open-telemetry.md","14,8"
"package-bundling.md","node_modules\next\dist\docs\01-app\02-guides\package-bundling.md","10,7"
"ppr-platform-guide.md","node_modules\next\dist\docs\01-app\02-guides\ppr-platform-guide.md","7,2"
"prefetching.md","node_modules\next\dist\docs\01-app\02-guides\prefetching.md","12"
"preserving-ui-state.md","node_modules\next\dist\docs\01-app\02-guides\preserving-ui-state.md","18,6"
"preventing-flash-before-hydration.md","node_modules\next\dist\docs\01-app\02-guides\preventing-flash-before-hydration.md","18,1"
"production-checklist.md","node_modules\next\dist\docs\01-app\02-guides\production-checklist.md","13,1"
"progressive-web-apps.md","node_modules\next\dist\docs\01-app\02-guides\progressive-web-apps.md","21"
"public-static-pages.md","node_modules\next\dist\docs\01-app\02-guides\public-static-pages.md","9"
"redirecting.md","node_modules\next\dist\docs\01-app\02-guides\redirecting.md","21,4"
"rendering-philosophy.md","node_modules\next\dist\docs\01-app\02-guides\rendering-philosophy.md","7,7"
"sass.md","node_modules\next\dist\docs\01-app\02-guides\sass.md","3,2"
"scripts.md","node_modules\next\dist\docs\01-app\02-guides\scripts.md","11,9"
"self-hosting.md","node_modules\next\dist\docs\01-app\02-guides\self-hosting.md","19,5"
"server-actions.md","node_modules\next\dist\docs\01-app\02-guides\server-actions.md","12,4"
"single-page-applications.md","node_modules\next\dist\docs\01-app\02-guides\single-page-applications.md","15,7"
"static-exports.md","node_modules\next\dist\docs\01-app\02-guides\static-exports.md","12,2"
"streaming.md","node_modules\next\dist\docs\01-app\02-guides\streaming.md","34,7"
"tailwind-v3-css.md","node_modules\next\dist\docs\01-app\02-guides\tailwind-v3-css.md","3,9"
"cypress.md","node_modules\next\dist\docs\01-app\02-guides\testing\cypress.md","8,5"
"index.md","node_modules\next\dist\docs\01-app\02-guides\testing\index.md","1,8"
"jest.md","node_modules\next\dist\docs\01-app\02-guides\testing\jest.md","13,3"
"playwright.md","node_modules\next\dist\docs\01-app\02-guides\testing\playwright.md","4,7"
"vitest.md","node_modules\next\dist\docs\01-app\02-guides\testing\vitest.md","6,1"
"third-party-libraries.md","node_modules\next\dist\docs\01-app\02-guides\third-party-libraries.md","16,7"
"codemods.md","node_modules\next\dist\docs\01-app\02-guides\upgrading\codemods.md","16,9"
"index.md","node_modules\next\dist\docs\01-app\02-guides\upgrading\index.md","0,2"
"version-14.md","node_modules\next\dist\docs\01-app\02-guides\upgrading\version-14.md","1,8"
"version-15.md","node_modules\next\dist\docs\01-app\02-guides\upgrading\version-15.md","16,7"
"version-16.md","node_modules\next\dist\docs\01-app\02-guides\upgrading\version-16.md","39,2"
"videos.md","node_modules\next\dist\docs\01-app\02-guides\videos.md","16,2"
"view-transitions.md","node_modules\next\dist\docs\01-app\02-guides\view-transitions.md","16,3"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\01-directives\index.md","0,1"
"use-cache.md","node_modules\next\dist\docs\01-app\03-api-reference\01-directives\use-cache.md","22,7"
"use-cache-private.md","node_modules\next\dist\docs\01-app\03-api-reference\01-directives\use-cache-private.md","6,3"
"use-cache-remote.md","node_modules\next\dist\docs\01-app\03-api-reference\01-directives\use-cache-remote.md","22"
"use-client.md","node_modules\next\dist\docs\01-app\03-api-reference\01-directives\use-client.md","3,7"
"use-server.md","node_modules\next\dist\docs\01-app\03-api-reference\01-directives\use-server.md","6,5"
"font.md","node_modules\next\dist\docs\01-app\03-api-reference\02-components\font.md","30,4"
"form.md","node_modules\next\dist\docs\01-app\03-api-reference\02-components\form.md","14"
"image.md","node_modules\next\dist\docs\01-app\03-api-reference\02-components\image.md","59,3"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\02-components\index.md","0,3"
"link.md","node_modules\next\dist\docs\01-app\03-api-reference\02-components\link.md","35,8"
"script.md","node_modules\next\dist\docs\01-app\03-api-reference\02-components\script.md","13"
"app-icons.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\01-metadata\app-icons.md","9,2"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\01-metadata\index.md","1,3"
"manifest.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\01-metadata\manifest.md","2,2"
"opengraph-image.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\01-metadata\opengraph-image.md","16,3"
"robots.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\01-metadata\robots.md","3,1"
"sitemap.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\01-metadata\sitemap.md","11,4"
"dynamicParams.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\02-route-segment-config\dynamicParams.md","1"
"index.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\02-route-segment-config\index.md","3"
"instant.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\02-route-segment-config\instant.md","4,5"
"maxDuration.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\02-route-segment-config\maxDuration.md","0,8"
"preferredRegion.md","node_modules\next\dist\docs\01-app\03-api-reference\03-file-conventions\02-route-segment-config\preferredRegion.md","1,6"
